Date,Close,High,Low,Open,Volume
2010-01-04,84.57850646972656,84.623282820346,83.22023546049228,83.86205639062004,118944600
2010-01-05,84.80236053466797,84.8396779413871,84.22024543040534,84.52623222275905,111579900
2010-01-06,84.86209869384766,85.07106258650583,84.6531348011895,84.72029932647003,116074400
2010-01-07,85.22028350830078,85.3247654018269,84.46651639600287,84.70533296603915,131091100
2010-01-08,85.50389862060547,85.54121603248998,84.82476613624083,84.99641256569927,126402800
2010-01-11,85.623291015625,85.92180746991816,85.257598679594,85.88449576004972,106375700
2010-01-12,84.82476043701172,85.23522347097492,84.49638545477134,85.0561124324062,163333500
2010-01-13,85.54122161865234,85.78003826633102,84.60834319899531,85.04119445839929,161822000
2010-01-14,85.77256774902344,85.92929062949273,85.39195178569081,85.44419274584723,115718800
2010-01-15,84.80985260009766,85.70541371280088,84.48147753498175,85.62332564036059,212283100
2010-01-19,85.86959075927734,85.92183172290824,84.77252482919043,84.79491869403624,139172700
2010-01-20,84.99642181396484,85.41434954212454,84.31728925570533,85.28747943805296,216490200
2010-01-21,83.36201477050781,85.28001260733325,83.25753284117398,85.01880778399868,344859600
2010-01-22,81.50370025634766,83.39184478418747,81.41414190116632,82.9888407266263,345942400
2010-01-25,81.92163848876953,82.39927741787325,81.6529747760398,82.25001347320418,186937500
2010-01-26,81.57831573486328,82.44402927538762,81.37681658668502,81.6007038964569,211168800
2010-01-27,81.9664077758789,82.1529834073306,80.84695398716873,81.47384537580496,271863600
2010-01-28,81.02608489990234,82.2798736789542,80.53352807268794,82.23509733843593,316104000
2010-01-29,80.14543914794922,81.94403122305579,80.0185690671046,81.37683962879416,310677600
2010-02-01,81.39176940917969,81.39923403034138,80.22753903681306,80.71263692324504,187865000
2010-02-02,82.37689208984375,82.53361497760442,81.25743801112081,81.54103668845353,216327900
2010-02-03,81.9664077758789,82.45150555642059,81.72759119537419,82.00371948586739,172730700
2010-02-04,79.43643951416016,81.36936024619418,79.42151027568853,81.33204853768748,356715700
2010-02-05,79.60063934326172,79.76482113510808,78.04832854350197,79.52600452697867,493585800
2010-02-08,79.02599334716797,80.10067106943076,78.96628776396719,79.66034951062228,224166900
2010-02-09,80.01856994628906,80.71263162902116,79.30957902221286,79.9513997479151,337820500
2010-02-10,79.86187744140625,80.30219343324704,79.1902036714598,79.89173024160826,240511500
2010-02-11,80.69770050048828,80.78725886494672,79.29465362032877,79.75736329594172,223591600
2010-02-12,80.63053131103516,80.67530764374328,79.48868927628364,79.84691132562222,304622100
2010-02-16,81.89927673339844,81.9813705059827,80.46637656548268,81.2425322465635,159317500
2010-02-17,82.28734588623047,82.39929244168408,81.89926525316969,82.29480481444592,168845100
2010-02-18,82.77241516113281,82.94406155204943,82.12312991946244,82.15298270349933,193708600
2010-02-19,82.94407653808594,83.2649869071679,82.36196137878318,82.55600166316323,222684900
2010-02-22,82.95901489257812,83.2724606752744,82.71273362310049,83.25007250420153,132346900
